### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0559 -- NIRSPEC-3 Filter, dispersion order 59
### lambda (microns)   Flambda (Normalized)
       1.2828541      0.89998196
       1.2828726      0.93413139
       1.2828911      0.94230375
       1.2829096      0.91464862
       1.2829280      0.93126269
       1.2829466      0.93896912
       1.2829651      0.88833460
       1.2829834      0.85887403
       1.2830019      0.88028359
       1.2830204      0.82932123
       1.2830389      0.83895465
       1.2830574      0.79071964
       1.2830758      0.79712653
       1.2830943      0.83985196
       1.2831127      0.78985025
       1.2831311      0.79278184
       1.2831496      0.80346735
       1.2831681      0.78916259
       1.2831866      0.77441397
       1.2832051      0.73681330
       1.2832235      0.77766087
       1.2832419      0.77517350
       1.2832604      0.71559667
       1.2832788      0.71138771
       1.2832973      0.71157187
       1.2833158      0.69220816
       1.2833343      0.63128240
       1.2833526      0.60309337
       1.2833711      0.59403049
       1.2833896      0.67545182
       1.2834081      0.74540183
       1.2834265      0.77460830
       1.2834450      0.80430481
       1.2834635      0.85235353
       1.2834819      0.87576631
       1.2835003      0.86706636
       1.2835188      0.87882011
       1.2835373      0.85464246
       1.2835558      0.84483508
       1.2835742      0.87737976
       1.2835927      0.90557266
       1.2836111      0.83121902
       1.2836296      0.87069637
       1.2836480      0.88202455
       1.2836665      0.88654680
       1.2836850      0.89879463
       1.2837035      0.88175912
       1.2837219      0.85357784
       1.2837403      0.89922596
       1.2837588      0.90367947
       1.2837773      0.90700018
       1.2837957      0.90591824
       1.2838142      0.92192968
       1.2838327      0.93595020
       1.2838512      0.94232941
       1.2838695      0.94417990
       1.2838880      0.93314987
       1.2839065      0.94997483
       1.2839250      0.95931773
       1.2839434      0.97695888
       1.2839619      0.97591638
       1.2839804      0.92234192
       1.2839987      0.90670639
       1.2840172      0.85985556
       1.2840357      0.85522840
       1.2840542      0.85588293
       1.2840727      0.84134338
       1.2840911      0.84244851
       1.2841095      0.92500502
       1.2841280      0.91133442
       1.2841464      0.94375042
       1.2841649      0.96509863
       1.2841834      0.97691956
       1.2842019      0.99035395
       1.2842204      0.99538598
       1.2842387      0.99773384
       1.2842572      0.99682548
       1.2842758      0.98609367
       1.2842942       1.0081778
       1.2843127      0.99070201
       1.2843312      0.97242588
       1.2843497      0.96086496
       1.2843680      0.94967097
       1.2843865      0.94979622
       1.2844050      0.88411021
       1.2844235      0.86564659
       1.2844419      0.84446192
       1.2844604      0.81612068
       1.2844789      0.76182603
       1.2844973      0.88545701
       1.2845157      0.91764466
       1.2845342      0.95739123
       1.2845527      0.95622437
       1.2845712      0.98266757
       1.2845897      0.96320325
       1.2846081      0.96843801
       1.2846265      0.94236156
       1.2846450      0.92542486
       1.2846634      0.92302128
       1.2846819      0.90473207
       1.2847004      0.91252614
       1.2847189      0.88524475
       1.2847374      0.89567962
       1.2847557      0.91110156
       1.2847742      0.89879808
       1.2847927      0.89618016
       1.2848111      0.88105965
       1.2848296      0.89570567
       1.2848481      0.87132631
       1.2848665      0.85116228
       1.2848849      0.84473915
       1.2849034      0.83849379
       1.2849219      0.81297698
       1.2849404      0.76737876
       1.2849588      0.77524789
       1.2849773      0.76201788
       1.2849957      0.74858911
       1.2850142      0.77795846
       1.2850326      0.78594320
       1.2850511      0.79081994
       1.2850696      0.80029116
       1.2850881      0.85166716
       1.2851065      0.90217332
       1.2851249      0.93185521
       1.2851434      0.94326429
       1.2851619      0.96817588
       1.2851803      0.95066246
       1.2851988      0.95751562
       1.2852173      0.97256372
       1.2852358      0.94943875
       1.2852541      0.97192216
       1.2852726      0.99208546
       1.2852911      0.99075893
       1.2853096       1.0077262
       1.2853280      0.94826361
       1.2853465      0.96142835
       1.2853650      0.98597985
       1.2853833      0.97405281
       1.2854018      0.96218476
       1.2854203      0.95198072
       1.2854388      0.92134461
       1.2854573      0.90710477
       1.2854757      0.93713114
       1.2854942      0.94704552
       1.2855126      0.94265557
       1.2855310      0.94575090
       1.2855495      0.97912530
       1.2855680      0.95318015
       1.2855865      0.95229129
       1.2856051      0.97314805
       1.2856234      0.97239670
       1.2856419      0.96561495
       1.2856604      0.95144085
       1.2856788      0.97166647
       1.2856973      0.96291285
       1.2857158      0.97282895
       1.2857343       1.0046136
       1.2857526      0.98549996
       1.2857711      0.98528960
       1.2857896      0.97829233
       1.2858081      0.97561732
       1.2858265      0.97730863
       1.2858450      0.95166270
       1.2858635      0.88548974
       1.2858819      0.87502800
       1.2859003      0.86904378
       1.2859188      0.84869134
       1.2859373      0.86232011
       1.2859558      0.86180535
       1.2859742      0.87017317
       1.2859927      0.87963423
       1.2860111      0.86181389
       1.2860296      0.85176042
       1.2860480      0.82287005
       1.2860665      0.77726715
       1.2860850      0.72449763
       1.2861035      0.69014579
       1.2861219      0.64865529
       1.2861403      0.66801931
       1.2861588      0.66594226
       1.2861773      0.70579234
       1.2861957      0.74372144
       1.2862142      0.77445499
       1.2862327      0.79609560
       1.2862512      0.79112395
       1.2862695      0.79779801
       1.2862880      0.78561275
       1.2863065      0.80253752
       1.2863250      0.77612297
       1.2863434      0.76865828
       1.2863619      0.80700267
       1.2863803      0.81114212
       1.2863988      0.81403558
       1.2864172      0.81903685
       1.2864357      0.82027067
       1.2864542      0.82010410
       1.2864727      0.79777163
       1.2864911      0.78328487
       1.2865095      0.82385041
       1.2865280      0.81345953
       1.2865465      0.83231602
       1.2865649      0.83205934
       1.2865834      0.84541426
       1.2866019      0.83274705
       1.2866204      0.84487208
       1.2866387      0.79469161
       1.2866572      0.75583451
       1.2866757      0.75557671
       1.2866942      0.77804633
       1.2867126      0.77461010
       1.2867311      0.78584492
       1.2867496      0.84027354
       1.2867679      0.85178446
       1.2867864      0.85627498
       1.2868049      0.90941058
       1.2868234      0.89163304
       1.2868419      0.88849504
       1.2868603      0.90099626
       1.2868788      0.91231803
       1.2868972      0.92541780
       1.2869156      0.93124985
       1.2869342      0.92039554
       1.2869527      0.92705420
       1.2869712      0.93623682
       1.2869897      0.95315777
       1.2870081      0.96955799
       1.2870265      0.96673732
       1.2870450      0.99223283
       1.2870634      0.99095100
       1.2870819      0.97309016
       1.2871004      0.99176883
       1.2871189      0.98298152
       1.2871372      0.95440792
       1.2871557      0.93624461
       1.2871742      0.90991736
       1.2871927      0.88624059
       1.2872111      0.86659495
       1.2872296      0.86604481
       1.2872481      0.90430934
       1.2872665      0.92047520
       1.2872849      0.92197916
       1.2873034      0.96954120
       1.2873219      0.95087272
       1.2873404      0.96361020
       1.2873588      0.94860307
       1.2873773      0.93254366
       1.2873957      0.92225393
       1.2874142      0.90140522
       1.2874326      0.93028600
       1.2874511      0.90948240
       1.2874696      0.93741698
       1.2874881      0.98816194
       1.2875065      0.96408287
       1.2875249      0.95460906
       1.2875434      0.96608037
       1.2875619      0.96442035
       1.2875803      0.94423543
       1.2875988      0.95035075
       1.2876173      0.94131756
       1.2876358      0.93267590
       1.2876541      0.91492332
       1.2876726      0.91575727
       1.2876911      0.92935498
       1.2877096      0.94777542
       1.2877280      0.93218121
       1.2877465      0.93481300
       1.2877650      0.94974378
       1.2877833      0.98378844
       1.2878018      0.95840797
       1.2878203      0.94367783
       1.2878388      0.94610026
       1.2878573      0.94564985
       1.2878757      0.92757225
       1.2878941      0.92801081
       1.2879126      0.94919571
       1.2879310      0.91609408
       1.2879495      0.88149919
       1.2879680      0.84146457
       1.2879865      0.77937037
       1.2880050      0.76100312
       1.2880233      0.73278933
       1.2880418      0.75301990
       1.2880603      0.79138233
       1.2880787      0.81361822
       1.2880972      0.84102591
       1.2881157      0.85172638
       1.2881342      0.85064125
       1.2881525      0.82661388
       1.2881710      0.81470444
       1.2881895      0.81417115
       1.2882080      0.81027961
       1.2882264      0.80905963
       1.2882449      0.80016132
       1.2882635      0.77092748
       1.2882819      0.80399882
       1.2883003      0.82229403
       1.2883188      0.81577268
       1.2883373      0.83775199
       1.2883558      0.80377055
       1.2883742      0.80089206
       1.2883927      0.72281398
       1.2884111      0.69302072
       1.2884296      0.70680103
       1.2884480      0.66633976
       1.2884665      0.67713844
       1.2884850      0.66692873
       1.2885035      0.69543588
       1.2885219      0.68667897
       1.2885403      0.73914777
       1.2885588      0.84927999
       1.2885773      0.88371459
       1.2885957      0.87155665
       1.2886142      0.91624741
       1.2886327      0.92432068
       1.2886511      0.92998696
       1.2886695      0.91905171
       1.2886880      0.91536913
       1.2887065      0.90374102
       1.2887250      0.90807940
       1.2887434      0.89968759
       1.2887619      0.90180996
       1.2887803      0.86358696
       1.2887988      0.87589463
       1.2888172      0.86488082
       1.2888357      0.86551067
       1.2888542      0.88336660
       1.2888727      0.88947637
       1.2888911      0.89258526
       1.2889095      0.90463970
       1.2889280      0.89116259
       1.2889465      0.89561759
       1.2889649      0.89027290
       1.2889834      0.86270043
       1.2890019      0.81793813
       1.2890204      0.76445294
       1.2890387      0.73394525
       1.2890572      0.72931977
       1.2890757      0.76023111
       1.2890942      0.80280464
       1.2891126      0.84456453
       1.2891311      0.87209538
       1.2891496      0.90215298
       1.2891679      0.94193954
       1.2891864      0.95672497
       1.2892049      0.98836622
       1.2892234      0.95610886
       1.2892419      0.95918353
       1.2892603      0.95249876
       1.2892788      0.96545105
       1.2892972      0.93026678
       1.2893156      0.93465457
       1.2893341      0.91701118
       1.2893526      0.91306150
       1.2893711      0.89714734
       1.2893896      0.89407874
       1.2894079      0.87963036
       1.2894264      0.86984884
       1.2894449      0.85241637
       1.2894633      0.87252748
       1.2894818      0.87533697
       1.2895003      0.84660376
       1.2895188      0.80657049
       1.2895371      0.78706332
       1.2895556      0.77201745
       1.2895741      0.75560837
       1.2895927      0.74562202
       1.2896111      0.79129069
       1.2896296      0.85627401
       1.2896481      0.91251675
       1.2896665      0.93951150
       1.2896849      0.96918009
       1.2897034      0.98656289
       1.2897219      0.99843101
       1.2897404       1.0119442
       1.2897588       1.0198222
       1.2897773      0.92134310
       1.2897957      0.95046508
       1.2898142      0.99469322
       1.2898326      0.97347607
       1.2898511      0.96103910
       1.2898696      0.93263381
       1.2898881      0.94757776
       1.2899065      0.94929443
       1.2899249      0.92106946
       1.2899434      0.92715445
       1.2899619      0.90942406
       1.2899803      0.92136981
       1.2899988      0.92953656
       1.2900173      0.93917613
       1.2900358      0.95062352
       1.2900541      0.99177226
       1.2900726      0.99141526
       1.2900911      0.98820733
       1.2901096      0.98151961
       1.2901280      0.98090013
       1.2901465      0.96756692
       1.2901649      0.91277761
       1.2901834      0.88972864
       1.2902018      0.84917223
       1.2902203      0.81897349
       1.2902388      0.82325604
       1.2902573      0.84132793
       1.2902757      0.87475538
       1.2902941      0.91894147
       1.2903126      0.94302843
       1.2903311      0.97051754
       1.2903495      0.99345711
       1.2903680      0.96611877
       1.2903865      0.97679965
       1.2904050      0.97275081
       1.2904233      0.96637701
       1.2904418      0.95837314
       1.2904603      0.94861267
       1.2904788      0.91484023
       1.2904972      0.85416423
       1.2905157      0.80562464
       1.2905342      0.78374914
       1.2905525      0.77787702
       1.2905710      0.80021581
       1.2905895      0.80744971
       1.2906080      0.81592868
       1.2906265      0.88668149
       1.2906449      0.77802618
       1.2906634      0.80361187
       1.2906818      0.75977390
       1.2907002      0.87632893
       1.2907187      0.85416973
       1.2907372      0.84287984
       1.2907557      0.86399628
       1.2907742      0.90229592
       1.2907926      0.91052668
       1.2908110      0.93122780
       1.2908295      0.90685592
       1.2908479      0.87166225
       1.2908664      0.86351013
       1.2908849      0.83510215
       1.2909034      0.84198215
       1.2909218      0.84186721
       1.2909403      0.82639995
       1.2909588      0.80317554
       1.2909773      0.81211487
       1.2909957      0.82297053
       1.2910142      0.86017877
       1.2910327      0.86438593
       1.2910511      0.87833138
       1.2910695      0.89706650
       1.2910880      0.89902818
       1.2911065      0.94553852
       1.2911250      0.96642228
       1.2911434      0.93992900
       1.2911619      0.94166238
       1.2911803      0.96413554
       1.2911988      0.95115494
       1.2912172      0.97030762
       1.2912357      0.97049174
       1.2912542      0.96337192
       1.2912727      0.97709960
       1.2912911      0.96766963
       1.2913095      0.96594988
       1.2913280      0.96152242
       1.2913465      0.94158456
       1.2913649      0.95879781
       1.2913834      0.96307575
       1.2914019      0.95106798
       1.2914204      0.95571840
       1.2914387      0.98204872
       1.2914572      0.98452926
       1.2914757      0.96159746
       1.2914942      0.96299914
       1.2915126      0.94965665
       1.2915311      0.91412933
       1.2915496      0.90060427
       1.2915679      0.84147148
       1.2915864      0.80637452
       1.2916049      0.80006088
       1.2916234      0.77123632
       1.2916419      0.78330538
       1.2916603      0.82020471
       1.2916787      0.80236964
       1.2916972      0.82804353
       1.2917156      0.81982945
       1.2917341      0.82805011
       1.2917526      0.85225280
       1.2917711      0.84099261
       1.2917896      0.81504712
