wavelength_Angstroms,flux,uncertainty
12828.54,1.2823,0.07
12828.73,1.266,0.07
12828.91,1.2485,0.07
12829.1,1.1744,0.07
12829.28,1.0896,0.07
12829.47,1.0286,0.07
12829.65,0.985,0.07
12829.83,0.9593,0.07
12830.02,0.9471,0.07
12830.2,0.9565,0.07
12830.39,1.0124,0.07
12830.57,1.0841,0.07
12830.76,1.1791,0.07
12830.94,1.2866,0.07
12831.13,1.3049,0.07
12831.31,1.2577,0.07
12831.5,1.2095,0.07
12831.68,1.1723,0.07
12831.87,1.1405,0.07
12832.05,1.0822,0.07
12832.23,0.9774,0.07
12832.42,0.8788,0.07
12832.6,0.7935,0.07
12832.79,0.7495,0.07
12832.97,0.739,0.07
12833.16,0.7076,0.07
12833.34,0.6685,0.07
12833.53,0.611,0.07
12833.71,0.5715,0.07
12833.9,0.5858,0.07
12834.08,0.6274,0.07
12834.26,0.6519,0.07
12834.45,0.6243,0.07
12834.63,0.5982,0.07
12834.82,0.5601,0.07
12835.0,0.5112,0.07
12835.19,0.4955,0.07
12835.37,0.4778,0.07
12835.56,0.453,0.07
12835.74,0.4455,0.07
12835.93,0.4833,0.07
12836.11,0.5784,0.07
12836.3,0.6881,0.07
12836.48,0.7985,0.07
12836.66,0.9044,0.07
12836.85,0.948,0.07
12837.03,1.001,0.07
12837.22,1.0567,0.07
12837.4,1.0325,0.07
12837.59,0.9821,0.07
12837.77,0.9142,0.07
12837.96,0.8755,0.07
12838.14,0.8513,0.07
12838.33,0.8611,0.07
12838.51,0.9054,0.07
12838.69,0.9063,0.07
12838.88,0.8864,0.07
12839.06,0.8994,0.07
12839.25,0.9052,0.07
12839.43,0.939,0.07
12839.62,0.9655,0.07
12839.8,0.9917,0.07
12839.99,0.9837,0.07
12840.17,0.9723,0.07
12840.36,0.9997,0.07
12840.54,1.0417,0.07
12840.73,1.0543,0.07
12840.91,1.0739,0.07
12841.09,1.0759,0.07
12841.28,1.0687,0.07
12841.46,1.0636,0.07
12841.65,1.0665,0.07
12841.83,1.0729,0.07
12842.02,1.0131,0.07
12842.2,0.9405,0.07
12842.39,0.8819,0.07
12842.57,0.8475,0.07
12842.76,0.8305,0.07
12842.94,0.8203,0.07
12843.13,0.8381,0.07
12843.31,0.8794,0.07
12843.5,0.9457,0.07
12843.68,1.0367,0.07
12843.86,1.1379,0.07
12844.05,1.2103,0.07
12844.23,1.2706,0.07
12844.42,1.3135,0.07
12844.6,1.338,0.07
12844.79,1.3219,0.07
12844.97,1.2993,0.07
12845.16,1.2967,0.07
12845.34,1.2863,0.07
12845.53,1.2673,0.07
12845.71,1.2333,0.07
12845.9,1.1842,0.07
12846.08,1.1012,0.07
12846.26,1.006,0.07
12846.45,0.96,0.07
12846.63,0.9354,0.07
12846.82,0.9034,0.07
12847.0,0.8951,0.07
12847.19,0.8994,0.07
12847.37,0.9223,0.07
12847.56,0.9907,0.07
12847.74,1.0847,0.07
12847.93,1.1964,0.07
12848.11,1.2588,0.07
12848.3,1.2816,0.07
12848.48,1.2796,0.07
12848.66,1.2303,0.07
12848.85,1.1482,0.07
12849.03,1.0991,0.07
12849.22,1.0514,0.07
12849.4,1.0231,0.07
12849.59,1.0067,0.07
12849.77,0.983,0.07
12849.96,0.9276,0.07
12850.14,0.8959,0.07
12850.33,0.9134,0.07
12850.51,0.9736,0.07
12850.7,1.0091,0.07
12850.88,0.9996,0.07
12851.06,0.9381,0.07
12851.25,0.8665,0.07
12851.43,0.8471,0.07
12851.62,0.8746,0.07
12851.8,0.8847,0.07
12851.99,0.8011,0.07
12852.17,0.7255,0.07
12852.36,0.6882,0.07
12852.54,0.6865,0.07
12852.73,0.7407,0.07
12852.91,0.8289,0.07
12853.1,0.8874,0.07
12853.28,0.9244,0.07
12853.46,0.9851,0.07
12853.65,1.0732,0.07
12853.83,1.1267,0.07
12854.02,1.1373,0.07
12854.2,1.1459,0.07
12854.39,1.1626,0.07
12854.57,1.1741,0.07
12854.76,1.1918,0.07
12854.94,1.2161,0.07
12855.13,1.2388,0.07
12855.31,1.2537,0.07
12855.49,1.2505,0.07
